index,binary_accuracy,epoch,stage
0,0.7418125272,0,train
1,0.8058000207,1,train
2,0.8269000053000001,2,train
3,0.8421999812000001,3,train
4,0.8570374846000001,4,train
5,0.8738874793,5,train
6,0.8898249865000001,6,train
7,0.9021750093,7,train
8,0.912212491,8,train
9,0.9193999767000001,9,train
10,0.9258999825,10,train
11,0.9310250282,11,train
12,0.9354624748,12,train
13,0.940024972,13,train
14,0.944724977,14,train
15,0.9472874999,15,train
16,0.9512374997,16,train
17,0.9549000263,17,train
18,0.9577000141,18,train
19,0.9598125219,19,train
20,0.9623125196000001,20,train
21,0.964625001,21,train
22,0.9663749933,22,train
23,0.9682499766,23,train
24,0.9700624943,24,train
0,0.7642499804,0,val
1,0.78549999,1,val
2,0.7774000168,2,val
3,0.7773500085,3,val
4,0.7724499702000001,4,val
5,0.762650013,5,val
6,0.7567999959,6,val
7,0.7500500083,7,val
8,0.7475000024,8,val
9,0.748149991,9,val
10,0.7534999847,10,val
11,0.7533000112,11,val
12,0.7505000234,12,val
13,0.7476000190000001,13,val
14,0.7498999834000001,14,val
15,0.7498999834000001,15,val
16,0.7463999987000001,16,val
17,0.7487000227,17,val
18,0.7447000146,18,val
19,0.7348499894,19,val
20,0.7300999761,20,val
21,0.7291499972000001,21,val
22,0.743350029,22,val
23,0.7322000265,23,val
24,0.7343500257000001,24,val
