index,cost_metric,epoch,stage
0,-85.3201065063,0,train
1,-49.3806800842,1,train
2,-53.7889328003,2,train
3,-35.1236877441,3,train
4,-22.7827339172,4,train
5,-17.936208725,5,train
6,-15.9358148575,6,train
7,-13.898601532,7,train
8,-12.5440864563,8,train
9,-11.4500141144,9,train
10,-10.74751091,10,train
11,-9.5704307556,11,train
12,-8.9768714905,12,train
13,-8.4692735672,13,train
14,-7.892001152,14,train
15,-7.439643383,15,train
16,-7.159922123,16,train
17,-6.7201685905,17,train
18,-6.6632528305,18,train
19,-6.3644256592,19,train
20,-5.8133459091,20,train
21,-5.5149917603,21,train
22,-5.3469719887,22,train
23,-5.0028834343,23,train
24,-4.7431278229,24,train
0,-79.3113021851,0,test
1,-70.6737060547,1,test
2,-85.3830413818,2,test
3,-73.8972854614,3,test
4,-83.4203948975,4,test
5,-75.7494049072,5,test
6,-75.3599319458,6,test
7,-74.7032470703,7,test
8,-67.7161865234,8,test
9,-74.6784133911,9,test
10,-70.6609191895,10,test
11,-67.5154266357,11,test
12,-87.7625656128,12,test
13,-67.598526001,13,test
14,-82.1518707275,14,test
15,-81.3367614746,15,test
16,-76.921875,16,test
17,-84.3772506714,17,test
18,-76.2261886597,18,test
19,-80.0039672852,19,test
20,-82.0168151855,20,test
21,-84.4396972656,21,test
22,-81.1858215332,22,test
23,-91.5341949463,23,test
24,-86.0577087402,24,test
