index,loss,epoch,stage
0,0.5561295152,0,train
1,0.41000625490000003,1,train
2,0.37356600170000004,2,train
3,0.2995615602,3,train
4,0.2221157998,4,train
5,0.1833314747,5,train
6,0.1627279222,6,train
7,0.1474233866,7,train
8,0.13378809390000002,8,train
9,0.1225093976,9,train
10,0.1128475741,10,train
11,0.1034080461,11,train
12,0.0955143422,12,train
13,0.08991222830000001,13,train
14,0.08389816430000001,14,train
15,0.0797930956,15,train
16,0.0748770684,16,train
17,0.0706119239,17,train
18,0.067803897,18,train
19,0.0636145249,19,train
20,0.0602851026,20,train
21,0.0575064681,21,train
22,0.0554497689,22,train
23,0.0527627021,23,train
24,0.048258997500000005,24,train
0,0.5000455976,0,test
1,0.5173326731,1,test
2,0.5489321351,2,test
3,0.626516819,3,test
4,0.6730243564,4,test
5,0.7329493761,5,test
6,0.7893948555,6,test
7,0.8260603547,7,test
8,0.8884332180000001,8,test
9,0.9361876249000001,9,test
10,0.9264431596,10,test
11,1.0005955696,11,test
12,1.0945161581,12,test
13,1.0861574411000001,13,test
14,1.1752563715,14,test
15,1.2091423273,15,test
16,1.2958120108,16,test
17,1.3013777733,17,test
18,1.4241400956999999,18,test
19,1.4532099962,19,test
20,1.4110995531000001,20,test
21,1.5536850691000001,21,test
22,1.54142344,22,test
23,1.5675725937,23,test
24,1.7075513601,24,test
