index,precision,epoch,stage
0,0.7417451739,0,train
1,0.8140825033,1,train
2,0.8366894722,2,train
3,0.8550085425,3,train
4,0.8695877194,4,train
5,0.8852366209,5,train
6,0.8972686529,6,train
7,0.9088136554,7,train
8,0.9178599715,8,train
9,0.9244471192,9,train
10,0.9311566949000001,10,train
11,0.9358378053,11,train
12,0.9401804209,12,train
13,0.944242537,13,train
14,0.9491692185,14,train
15,0.9516776204,15,train
16,0.9553906918,16,train
17,0.9589365721,17,train
18,0.9612264633000001,18,train
19,0.9633669853000001,19,train
20,0.9661683440000001,20,train
21,0.9681816101,21,train
22,0.9696611166,22,train
23,0.9715256691,23,train
24,0.9731484652000001,24,train
0,0.8422006369,0,val
1,0.7959585786000001,1,val
2,0.8223745227,2,val
3,0.8222790360000001,3,val
4,0.8053781390000001,4,val
5,0.7406355739,5,val
6,0.7742314339,6,val
7,0.7881580591,7,val
8,0.7142980695000001,8,val
9,0.7220284343000001,9,val
10,0.7628524303,10,val
11,0.75168854,11,val
12,0.7583504915,12,val
13,0.7244066,13,val
14,0.7665244937,14,val
15,0.7526783943,15,val
16,0.7635799646,16,val
17,0.7587354183,17,val
18,0.7370255589,18,val
19,0.7195588946,19,val
20,0.7617098689,20,val
21,0.7302863002000001,21,val
22,0.7605136633,22,val
23,0.7285517454,23,val
24,0.7296953201,24,val
