index,precision_at_recall,epoch,stage
0,0.8403051496,0,train
1,0.9286401868,1,train
2,0.9474397898,2,train
3,0.9607295394,3,train
4,0.9699789882000001,4,train
5,0.9803339243,5,train
6,0.9863752127000001,6,train
7,0.9892239571,7,train
8,0.9929860234000001,8,train
9,0.9938820601,9,train
10,0.9959120154000001,10,train
11,0.9961557984,11,train
12,0.9976271391,12,train
13,0.9977288246,13,train
14,0.9976773262,14,train
15,0.9985508919,15,train
16,0.998703301,16,train
17,0.9986038804,17,train
18,0.9990164638000001,18,train
19,0.998752594,19,train
20,0.9988976121,20,train
21,0.9991236925,21,train
22,0.9991067648,22,train
23,0.9992114902,23,train
24,0.9994369149000001,24,train
0,0.8866943717,0,val
1,0.8981547356,1,val
2,0.8992999196,2,val
3,0.9033363461,3,val
4,0.8931882977000001,4,val
5,0.8684616685000001,5,val
6,0.868639648,6,val
7,0.8549514413,7,val
8,0.8442202806,8,val
9,0.842366159,9,val
10,0.8548359871000001,10,val
11,0.8315910101,11,val
12,0.8442719579,12,val
13,0.8317555189,13,val
14,0.8363425732,14,val
15,0.8385598063,15,val
16,0.8268789053000001,16,val
17,0.83115381,17,val
18,0.8175874352,18,val
19,0.8028930426,19,val
20,0.8141564131,20,val
21,0.8014600873000001,21,val
22,0.8310978413000001,22,val
23,0.7927193046000001,23,val
24,0.8054097295,24,val
