index,recall,epoch,stage
0,0.7166550159,0,train
1,0.8178657293,1,train
2,0.8609165549000001,2,train
3,0.8797028065,3,train
4,0.9098209143,4,train
5,0.9250800610000001,5,train
6,0.9340854287,6,train
7,0.9387632608,7,train
8,0.9431158900000001,8,train
9,0.9474434853,9,train
10,0.9513207674,10,train
11,0.9559235573,11,train
12,0.9586001635,12,train
13,0.9609766006,13,train
14,0.9647037983000001,14,train
15,0.9656293988,15,train
16,0.9678556919,16,train
17,0.9692065120000001,17,train
18,0.9693565965000001,18,train
19,0.9727836847,19,train
20,0.9740844369,20,train
21,0.9756603837000001,21,train
22,0.9761356711,22,train
23,0.9777366519,23,train
24,0.9798378944,24,train
0,0.7809257507,0,test
1,0.7456105351000001,1,test
2,0.7614724636,2,test
3,0.7163807154,3,test
4,0.7256584167,4,test
5,0.6949321628,5,test
6,0.6898443699,6,test
7,0.6787709594,7,test
8,0.6364724636,8,test
9,0.6601157188,9,test
10,0.6476456523,10,test
11,0.628092587,11,test
12,0.6995211244,12,test
13,0.618116498,13,test
14,0.6641061306,14,test
15,0.6634078026,15,test
16,0.6416600347,16,test
17,0.6695929766000001,17,test
18,0.6423583627,18,test
19,0.6528332233,19,test
20,0.6503391862,20,test
21,0.6597166657,21,test
22,0.6515362859,22,test
23,0.6753790975,23,test
24,0.6658020616,24,test
