index,sensitivity_at_specificity,epoch,stage
0,0.8926696181,0,train
1,0.9448722601,1,train
2,0.9588229656,2,train
3,0.9666983485,3,train
4,0.9742737412,4,train
5,0.9817490578,5,train
6,0.9893744588000001,6,train
7,0.9918496013,7,train
8,0.9944497347000001,8,train
9,0.9954497814000001,9,train
10,0.9960998297,10,train
11,0.9973998666,11,train
12,0.9979498982,12,train
13,0.997774899,13,train
14,0.9981248975,14,train
15,0.9986999631000001,15,train
16,0.9987749457,16,train
17,0.998824954,17,train
18,0.9994249940000001,18,train
19,0.9993749857,19,train
20,0.99939996,20,train
21,0.9994750023000001,21,train
22,0.999524951,22,train
23,0.9994999766,23,train
24,0.9995749593000001,24,train
0,0.9221155643000001,0,val
1,0.9325134754000001,1,val
2,0.9334133267,2,val
3,0.9326134920000001,3,val
4,0.9294140935,4,val
5,0.9216156602000001,5,val
6,0.907618463,6,val
7,0.9071185589,7,val
8,0.9131173491000001,8,val
9,0.9118176103000001,9,val
10,0.9042191505,10,val
11,0.9082183838000001,11,val
12,0.9024195075,12,val
13,0.904019177,13,val
14,0.8966206908000001,14,val
15,0.8982203603000001,15,val
16,0.8924215436,16,val
17,0.8888222575,17,val
18,0.8913217187,18,val
19,0.8843231201,19,val
20,0.8755248785,20,val
21,0.8843231201,21,val
22,0.8791241646,22,val
23,0.8821235895,23,val
24,0.8815236688,24,val
