index,specificity_at_sensitivity,epoch,stage
0,0.9047547579,0,train
1,0.9610769749,1,train
2,0.9719014168000001,2,train
3,0.9792760611,3,train
4,0.9842757583,4,train
5,0.9899005294000001,5,train
6,0.9929253459,6,train
7,0.9943003058000001,7,train
8,0.9963752031,8,train
9,0.9968001842,9,train
10,0.9979001284000001,10,train
11,0.9979001284000001,11,train
12,0.9987750649,12,train
13,0.9987500906000001,13,train
14,0.998650074,14,train
15,0.9992500544,15,train
16,0.9993000627,16,train
17,0.9992000461,17,train
18,0.9994250536,18,train
19,0.9992250204,19,train
20,0.9993000627,20,train
21,0.9994250536,21,train
22,0.9994000196,22,train
23,0.9994500279,23,train
24,0.9995999932,24,train
0,0.9351870418,0,val
1,0.9425885081,1,val
2,0.9438887835,2,val
3,0.9463892579000001,3,val
4,0.9400880337,4,val
5,0.9232846498,5,val
6,0.9240848422,6,val
7,0.9148829579000001,7,val
8,0.9057811499,8,val
9,0.9045808911000001,9,val
10,0.9145829082,10,val
11,0.896879375,11,val
12,0.9076815248000001,12,val
13,0.8986797333000001,13,val
14,0.9011802077000001,14,val
15,0.9026805162,15,val
16,0.8944789171,16,val
17,0.8979796171000001,17,val
18,0.8883776665,18,val
19,0.8759751916,19,val
20,0.8849769831000001,20,val
21,0.8748749495,21,val
22,0.8979796171000001,22,val
23,0.8678735495000001,23,val
24,0.8776755333,24,val
