index,auc,epoch,stage
0,0.535471797,0,train
1,0.5591232181,1,train
2,0.5792534351,2,train
3,0.6074655652000001,3,train
4,0.6210368872,4,train
5,0.6312792301,5,train
6,0.6401324272000001,6,train
7,0.6431798339,7,train
8,0.6512946486,8,train
9,0.6522251964,9,train
10,0.6555022597,10,train
11,0.6562060714,11,train
12,0.6612704992,12,train
13,0.6622908711000001,13,train
14,0.6612699032,14,train
15,0.6627210975000001,15,train
16,0.6632043719,16,train
17,0.6641437411000001,17,train
18,0.6654622555,18,train
19,0.6661616564,19,train
20,0.6695830822000001,20,train
21,0.6653945446,21,train
22,0.6681423187000001,22,train
23,0.6679610014,23,train
24,0.6679587960000001,24,train
0,0.5381166935,0,val
1,0.5374183059000001,1,val
2,0.5461022258,2,val
3,0.5252071023,3,val
4,0.539831996,4,val
5,0.5365365744,5,val
6,0.5323094726,6,val
7,0.5337822437,7,val
8,0.5381629467,8,val
9,0.5332904458000001,9,val
10,0.5372053981,10,val
11,0.5275210738,11,val
12,0.5331604481000001,12,val
13,0.5324978828,13,val
14,0.5299740434,14,val
15,0.5312106609,15,val
16,0.5326424837,16,val
17,0.5307632685,17,val
18,0.5249217153,18,val
19,0.5376312733,19,val
20,0.5265297294,20,val
21,0.5310080647000001,21,val
22,0.5260043144000001,22,val
23,0.5265318155,23,val
24,0.5332288742,24,val
