index,binary_accuracy,epoch,stage
0,0.5171437263,0,train
1,0.53056252,1,train
2,0.5425624847,2,train
3,0.5561000109,3,train
4,0.5641999841,4,train
5,0.5724750161000001,5,train
6,0.5746874809,6,train
7,0.578700006,7,train
8,0.5819749832000001,8,train
9,0.5808625221,9,train
10,0.5826249719000001,10,train
11,0.5831249952,11,train
12,0.5847749710000001,12,train
13,0.5911250114000001,13,train
14,0.5905249715,14,train
15,0.5890750289000001,15,train
16,0.5924999714,16,train
17,0.5908625126,17,train
18,0.5886999965,18,train
19,0.5934625268,19,train
20,0.5918124914,20,train
21,0.5923374891000001,21,train
22,0.5918874741,22,train
23,0.5925874710000001,23,train
24,0.5924999714,24,train
0,0.517449975,0,test
1,0.5285000205,1,test
2,0.5156000257,2,test
3,0.5075500011,3,test
4,0.5111500025,4,test
5,0.5114499927,5,test
6,0.5223500133,6,test
7,0.5080500245,7,test
8,0.5232999921,8,test
9,0.5092499852,9,test
10,0.5085999966,10,test
11,0.5087000132,11,test
12,0.5085499883,12,test
13,0.5221999884,13,test
14,0.5114499927,14,test
15,0.5224999785000001,15,test
16,0.5232999921,16,test
17,0.5221499801,17,test
18,0.5203499794,18,test
19,0.5109500289,19,test
20,0.5230500102,20,test
21,0.5108500123,21,test
22,0.5045499802,22,test
23,0.5087500215,23,test
24,0.5090000033000001,24,test
