index,cost_metric,epoch,stage
0,-163.0135498047,0,train
1,-161.9153900146,1,train
2,-153.8617553711,2,train
3,-151.1010437012,3,train
4,-150.7819061279,4,train
5,-141.9910430908,5,train
6,-134.0108642578,6,train
7,-144.101776123,7,train
8,-139.3401184082,8,train
9,-131.6104736328,9,train
10,-140.2233886719,10,train
11,-146.078994751,11,train
12,-131.576675415,12,train
13,-130.5913085938,13,train
14,-130.1024169922,14,train
15,-135.5989227295,15,train
16,-129.3736114502,16,train
17,-129.8862304688,17,train
18,-130.9842376709,18,train
19,-136.9012451172,19,train
20,-130.4337005615,20,train
21,-128.5599975586,21,train
22,-128.9739837646,22,train
23,-126.3794174194,23,train
24,-128.5294952393,24,train
0,-164.813659668,0,val
1,-165.1879882812,1,val
2,-161.1686553955,2,val
3,-168.2226715088,3,val
4,-162.4079589844,4,val
5,-162.356842041,5,val
6,-165.9678344727,6,val
7,-166.9705657959,7,val
8,-163.2080383301,8,val
9,-167.116973877,9,val
10,-163.5402679443,10,val
11,-167.5597991943,11,val
12,-164.2232055664,12,val
13,-167.4016113281,13,val
14,-163.3521118164,14,val
15,-168.0806121826,15,val
16,-167.2727661133,16,val
17,-168.0991210938,17,val
18,-168.2523193359,18,val
19,-162.9415893555,19,val
20,-167.5957183838,20,val
21,-167.391204834,21,val
22,-167.8403320312,22,val
23,-168.7114105225,23,val
24,-163.5411224365,24,val
