index,loss,epoch,stage
0,0.6876567006000001,0,train
1,0.6776840091,1,train
2,0.6638082266,2,train
3,0.6435415745,3,train
4,0.629144311,4,train
5,0.6174909472,5,train
6,0.6096225381,6,train
7,0.6033051014,7,train
8,0.5999930501,8,train
9,0.5946151614,9,train
10,0.5915324688,10,train
11,0.5890659094,11,train
12,0.5863437653,12,train
13,0.5840595365,13,train
14,0.5822921395,14,train
15,0.582024157,15,train
16,0.5806145668,16,train
17,0.5794856548,17,train
18,0.578194797,18,train
19,0.5781381130000001,19,train
20,0.5772098899,20,train
21,0.5757259130000001,21,train
22,0.5753387809,22,train
23,0.5747634768000001,23,train
24,0.5745146275,24,train
0,0.6851574183,0,test
1,0.6857862473,1,test
2,0.6948551536,2,test
3,0.7446352243000001,3,test
4,0.7735663056000001,4,test
5,0.7922210693,5,test
6,0.8022743464000001,6,test
7,0.8571407199000001,7,test
8,0.8637885451,8,test
9,0.9037972689,9,test
10,0.9194247127,10,test
11,0.9806344509,11,test
12,0.962536037,12,test
13,1.0101115704,13,test
14,1.0435318947,14,test
15,1.0038964748,15,test
16,1.0104669333,16,test
17,1.1599998474,17,test
18,1.0732150078,18,test
19,1.0623457432,19,test
20,1.0772945881,20,test
21,1.2451629639,21,test
22,1.2299832106,22,test
23,1.2287254333,23,test
24,1.1992157697999999,24,test
