index,precision,epoch,stage
0,0.5204427242,0,train
1,0.5325890779,1,train
2,0.5425187349,2,train
3,0.5597409010000001,3,train
4,0.5644648671,4,train
5,0.5703077912,5,train
6,0.5778585076,6,train
7,0.5765897632,7,train
8,0.5829021931,8,train
9,0.5853375196,9,train
10,0.583527267,10,train
11,0.5814642906,11,train
12,0.5902144313000001,12,train
13,0.5916928053,13,train
14,0.5907245278000001,14,train
15,0.5871950388,15,train
16,0.5910250545,16,train
17,0.5911213756,17,train
18,0.5922291279,18,train
19,0.589869976,19,train
20,0.5958123207,20,train
21,0.5937809348,21,train
22,0.5936637521,22,train
23,0.5966120362,23,train
24,0.5952335596,24,train
0,0.5165340900000001,0,val
1,0.5162016153,1,val
2,0.5281556249,2,val
3,0.509649992,3,val
4,0.5253000259,4,val
5,0.5262264013,5,val
6,0.5140500069,6,val
7,0.5120292306,7,val
8,0.5241927505,8,val
9,0.5119755864000001,9,val
10,0.5234476328000001,10,val
11,0.5112477541,11,val
12,0.5218499899,12,val
13,0.5113511086,13,val
14,0.5229853392,14,val
15,0.5102020502,15,val
16,0.5115500093,16,val
17,0.5104650855,17,val
18,0.5100175142,18,val
19,0.5242378712,19,val
20,0.5111311078,20,val
21,0.5109799504,21,val
22,0.5103541613,22,val
23,0.5084525347000001,23,val
24,0.5241379142,24,val
