index,precision_at_recall,epoch,stage
0,0.5174919963,0,train
1,0.5257813334,1,train
2,0.5331864357,2,train
3,0.5443029404,3,train
4,0.5495650768,4,train
5,0.5635164976,5,train
6,0.5516347289,6,train
7,0.5601826906,7,train
8,0.5641075969,8,train
9,0.5691224933,9,train
10,0.5745123029,10,train
11,0.5712124705,11,train
12,0.5687378049,12,train
13,0.5662520528,13,train
14,0.5715843439,14,train
15,0.5756586194000001,15,train
16,0.5679482222000001,16,train
17,0.5731211305,17,train
18,0.5720613003,18,train
19,0.5736764073,19,train
20,0.5670562387,20,train
21,0.612825036,21,train
22,0.5774897933,22,train
23,0.6170245409,23,train
24,0.6174214482,24,train
0,0.5160367489000001,0,val
1,0.5151728392,1,val
2,0.5283463597,2,val
3,0.5115061402000001,3,val
4,0.5070750117,4,val
5,0.5220706463,5,val
6,0.5229173899,6,val
7,0.5093279481,7,val
8,0.5241503716,8,val
9,0.5095895529,9,val
10,0.5083999634,10,val
11,0.5217869878,11,val
12,0.5084104538,12,val
13,0.5093719959,13,val
14,0.5117093921,14,val
15,0.5103268623,15,val
16,0.5096686482,16,val
17,0.5234539509,17,val
18,0.5084056258,18,val
19,0.5241765976,19,val
20,0.5098856091,20,val
21,0.5215471983000001,21,val
22,0.509257853,22,val
23,0.5235638618,23,val
24,0.522305131,24,val
