index,sensitivity_at_specificity,epoch,stage
0,0.4284000099,0,train
1,0.41479998830000003,1,train
2,0.3919124901,2,train
3,0.4728249907,3,train
4,0.3975124955,4,train
5,0.3855875134,5,train
6,0.40184998510000003,6,train
7,0.348012507,7,train
8,0.43323749300000003,8,train
9,0.3219375014,9,train
10,0.4083249867,10,train
11,0.3390749991,11,train
12,0.39206248520000003,12,train
13,0.6591374874,13,train
14,0.41042500730000003,14,train
15,0.3906750083,15,train
16,0.3838624954,16,train
17,0.3547999859,17,train
18,0.42770001290000004,18,train
19,0.4093874991,19,train
20,0.676112473,20,train
21,0.38871249560000004,21,train
22,0.4093874991,22,train
23,0.4556249976,23,train
24,0.4620124996,24,train
0,0.5181999803,0,val
1,0.5189999938000001,1,val
2,0.5303999782000001,2,val
3,0.5118499994,3,val
4,0.5260000229,4,val
5,0.1325999945,5,val
6,0.5164999962,6,val
7,0.1289999932,7,val
8,0.5248500109,8,val
9,0.1303499937,9,val
10,0.5213000178,10,val
11,0.5119000077,11,val
12,0.5220999718,12,val
13,0.1307500005,13,val
14,0.12729999420000002,14,val
15,0.1282999963,15,val
16,0.1307999939,16,val
17,0.1278499961,17,val
18,0.5125499964,18,val
19,0.5246499777,19,val
20,0.513800025,20,val
21,0.1286499947,21,val
22,0.5111500025,22,val
23,0.1259499937,23,val
24,0.1298000067,24,val
