index,auc,epoch,stage
0,0.6322149634,0,train
1,0.6746844649,1,train
2,0.7047060132,2,train
3,0.7386643887000001,3,train
4,0.7717046142,4,train
5,0.798273921,5,train
6,0.81952703,6,train
7,0.8338708878000001,7,train
8,0.8445523977,8,train
9,0.8512109518000001,9,train
10,0.8595570326,10,train
11,0.8644436598,11,train
12,0.8689021468,12,train
13,0.8730980754000001,13,train
14,0.8750095963000001,14,train
15,0.8784166574000001,15,train
16,0.8809246421,16,train
17,0.8826341629000001,17,train
18,0.8853036165,18,train
19,0.887237072,19,train
20,0.8882038593,20,train
21,0.8893204331000001,21,train
22,0.891708374,22,train
23,0.8921804428000001,23,train
24,0.8942366242,24,train
0,0.6628075242,0,val
1,0.65941149,1,val
2,0.657638371,2,val
3,0.6603803635000001,3,val
4,0.6456975937,4,val
5,0.6441153288,5,val
6,0.6444770694,6,val
7,0.6395216584,7,val
8,0.6270964742,8,val
9,0.6204132438000001,9,val
10,0.6256830096,10,val
11,0.6365483999,11,val
12,0.6262152791000001,12,val
13,0.6265531182,13,val
14,0.6251388788000001,14,val
15,0.6267466545,15,val
16,0.6306505203,16,val
17,0.6267455816,17,val
18,0.624078095,18,val
19,0.5876591206,19,val
20,0.6233096719,20,val
21,0.6275357604,21,val
22,0.6249660254,22,val
23,0.6253067851,23,val
24,0.619305253,24,val
