index,binary_accuracy,epoch,stage
0,0.5859125257000001,0,train
1,0.6143249869,1,train
2,0.6335499883,2,train
3,0.6556562781,3,train
4,0.6780562401,4,train
5,0.696218729,5,train
6,0.7117875218,6,train
7,0.7223500013,7,train
8,0.7308562398,8,train
9,0.7357749939,9,train
10,0.7422875166,10,train
11,0.7462937236,11,train
12,0.749768734,12,train
13,0.7535687685,13,train
14,0.7556187510000001,14,train
15,0.7578562498,15,train
16,0.7611687779,16,train
17,0.7630375028,17,train
18,0.7653375268,18,train
19,0.7675062418,19,train
20,0.7692687511,20,train
21,0.7689499855,21,train
22,0.7712312341,22,train
23,0.7719062567,23,train
24,0.7746124864,24,train
0,0.6072999835,0,val
1,0.6040999889,1,val
2,0.6034500003000001,2,val
3,0.6072499752,3,val
4,0.5981000066000001,4,val
5,0.5985000134,5,val
6,0.5994250178,6,val
7,0.5948500037000001,7,val
8,0.5882499814000001,8,val
9,0.5844500065,9,val
10,0.5878000259,10,val
11,0.595600009,11,val
12,0.5779250264,12,val
13,0.5867249966,13,val
14,0.5859000087,14,val
15,0.5879499912,15,val
16,0.5911250114000001,16,val
17,0.5898000002,17,val
18,0.5878250003000001,18,val
19,0.560199976,19,val
20,0.5857250094,20,val
21,0.5888000131000001,21,val
22,0.5875750184,22,val
23,0.5867750049,23,val
24,0.5731750131000001,24,val
