index,cost_metric,epoch,stage
0,-134.5347595215,0,train
1,-123.4463500977,1,train
2,-115.4222869873,2,train
3,-106.9811935425,3,train
4,-98.3203582764,4,train
5,-91.4547653198,5,train
6,-86.2390213013,6,train
7,-82.5273971558,7,train
8,-79.5076904297,8,train
9,-77.058883667,9,train
10,-74.7188873291,10,train
11,-73.7990264893,11,train
12,-72.4121322632,12,train
13,-70.8541870117,13,train
14,-70.2865066528,14,train
15,-69.1411209106,15,train
16,-68.9354629517,16,train
17,-67.7422409058,17,train
18,-67.1297073364,18,train
19,-66.1438980103,19,train
20,-66.0442962646,20,train
21,-65.6747512817,21,train
22,-65.0659637451,22,train
23,-64.8017654419,23,train
24,-64.5116958618,24,train
0,-125.5117797852,0,test
1,-123.477142334,1,test
2,-123.822052002,2,test
3,-128.2659454346,3,test
4,-132.5647888184,4,test
5,-128.8611450195,5,test
6,-129.0733795166,6,test
7,-130.7723693848,7,test
8,-137.2901611328,8,test
9,-131.8551177979,9,test
10,-131.3221130371,10,test
11,-131.1218414307,11,test
12,-133.2534179688,12,test
13,-133.2763214111,13,test
14,-133.3975524902,14,test
15,-131.7961883545,15,test
16,-131.7852020264,16,test
17,-133.8602905273,17,test
18,-133.8168640137,18,test
19,-140.5787811279,19,test
20,-134.3224945068,20,test
21,-134.5249176025,21,test
22,-134.7895507812,22,test
23,-134.4680480957,23,test
24,-135.1597137451,24,test
