index,loss,epoch,stage
0,0.6600455642,0,train
1,0.6372211576,1,train
2,0.6158310175,2,train
3,0.5855394006,3,train
4,0.5503914356,4,train
5,0.5166874528000001,5,train
6,0.48707652090000003,6,train
7,0.4650284052,7,train
8,0.4474870265,8,train
9,0.43523338440000003,9,train
10,0.41991263630000003,10,train
11,0.4121632874,11,train
12,0.4029994905,12,train
13,0.39417251940000003,13,train
14,0.3906085789,14,train
15,0.3841790259,15,train
16,0.3798498809,16,train
17,0.3745805323,17,train
18,0.3691391945,18,train
19,0.3650683463,19,train
20,0.362654537,20,train
21,0.3595105112,21,train
22,0.35426756740000004,22,train
23,0.3546900153,23,train
24,0.35126197340000004,24,train
0,0.6455742717,0,val
1,0.6460180283,1,val
2,0.6525626779,2,val
3,0.6673697233,3,val
4,0.6959505081,4,val
5,0.7823294401,5,val
6,0.8265247941,6,val
7,0.8306419849000001,7,val
8,0.9098930955000001,8,val
9,0.9709143639000001,9,val
10,1.0415606499,10,val
11,1.1023161411,11,val
12,1.2583583593,12,val
13,1.2136924267,13,val
14,1.3208140135,14,val
15,1.3418956995,15,val
16,1.4133429526999999,16,val
17,1.3917748928,17,val
18,1.6470934153,18,val
19,2.0539772511,19,val
20,1.4853971004,20,val
21,1.599814415,21,val
22,1.7757091522000001,22,val
23,1.7049238682,23,val
24,1.7943623066,24,val
