index,precision_at_recall,epoch,stage
0,0.5933294296,0,train
1,0.6296471357,1,train
2,0.667388618,2,train
3,0.6982287765,3,train
4,0.7389039397,4,train
5,0.7986469865,5,train
6,0.8381517529,6,train
7,0.8679155707,7,train
8,0.8914414048,8,train
9,0.9102188349,9,train
10,0.9274042249000001,10,train
11,0.9365350008000001,11,train
12,0.9489440322,12,train
13,0.9567531347,13,train
14,0.9620249867,14,train
15,0.9698982239,15,train
16,0.9738638401,16,train
17,0.9778522253,17,train
18,0.9802275896,18,train
19,0.9846994281,19,train
20,0.9862042069,20,train
21,0.9869338870000001,21,train
22,0.9902048111,22,train
23,0.9897442460000001,23,train
24,0.9912773967,24,train
0,0.6131984591,0,test
1,0.6128851771,1,test
2,0.6139634848000001,2,test
3,0.6016061902000001,3,test
4,0.5887691379000001,4,test
5,0.5994231701,5,test
6,0.5988983512,6,test
7,0.5937170982000001,7,test
8,0.5622749925,8,test
9,0.5925021768000001,9,test
10,0.5928474665,10,test
11,0.5941340327,11,test
12,0.5906855464,12,test
13,0.5906940699000001,13,test
14,0.5905852318,14,test
15,0.5927684903,15,test
16,0.5929771066,16,test
17,0.5880743861000001,17,test
18,0.5584219694,18,test
19,0.5699102879,19,test
20,0.5873742104,20,test
21,0.5857649446000001,21,test
22,0.5852871537000001,22,test
23,0.5858641863,23,test
24,0.5848903656000001,24,test
