index,recall,epoch,stage
0,0.5845875144,0,train
1,0.6144499779,1,train
2,0.6349874735000001,2,train
3,0.6558374763,3,train
4,0.6780250072,4,train
5,0.6974874735000001,5,train
6,0.7129750252,6,train
7,0.7235124707,7,train
8,0.7315000296,8,train
9,0.7370250225,9,train
10,0.744024992,10,train
11,0.7481124997,11,train
12,0.7514374852,12,train
13,0.7530249953,13,train
14,0.7549625039000001,14,train
15,0.7578125,15,train
16,0.7593749762,16,train
17,0.7623999715,17,train
18,0.7652500272,18,train
19,0.7674750090000001,19,train
20,0.7686250210000001,20,train
21,0.7684375048000001,21,train
22,0.7712500095,22,train
23,0.7718374729,23,train
24,0.7735000253000001,24,train
0,0.6068999767000001,0,val
1,0.6032000184,1,val
2,0.6036999822,2,val
3,0.6072999835,3,val
4,0.5984500051,4,val
5,0.5986499786,5,val
6,0.5995000005000001,6,val
7,0.5951499939,7,val
8,0.5885499716,8,val
9,0.5845500231,9,val
10,0.5877000093,10,val
11,0.5956500173,11,val
12,0.5777500272,12,val
13,0.5867499709,13,val
14,0.5857499838,14,val
15,0.5877500176,15,val
16,0.5910500288,16,val
17,0.5895500183,17,val
18,0.5879499912,18,val
19,0.5592499971,19,val
20,0.5860000253000001,20,val
21,0.5885999799,21,val
22,0.5874000192000001,22,val
23,0.5868499875000001,23,val
24,0.5727000237000001,24,val
