index,sensitivity_at_specificity,epoch,stage
0,0.6335999966,0,train
1,0.6870750189,1,train
2,0.7466124892,2,train
3,0.7740374804,3,train
4,0.8120499849,4,train
5,0.8727625012,5,train
6,0.9028000236,6,train
7,0.9236750007000001,7,train
8,0.9388625026,8,train
9,0.9506124854,9,train
10,0.9608500004,10,train
11,0.9660375118000001,11,train
12,0.9730749726000001,12,train
13,0.9773499966,13,train
14,0.9802625179000001,14,train
15,0.9844750166,15,train
16,0.9865499735000001,16,train
17,0.9886749983,17,train
18,0.9898999929000001,18,train
19,0.9922249913000001,19,train
20,0.9929999709,20,train
21,0.9933750033000001,21,train
22,0.9950500131000001,22,train
23,0.9948124886,23,train
24,0.9955999851,24,train
0,0.6386500001000001,0,test
1,0.6193500161000001,1,test
2,0.6218000054,2,test
3,0.6080999970000001,3,test
4,0.5899000168,4,test
5,0.6041499972000001,5,test
6,0.6031500101,6,test
7,0.5945500135,7,test
8,0.4043000042,8,test
9,0.5994499922000001,9,test
10,0.5946999788,10,test
11,0.5986999869,11,test
12,0.6005499959,12,test
13,0.6063500047,13,test
14,0.5977500081,14,test
15,0.6013000011,15,test
16,0.6000999808,16,test
17,0.5934500098000001,17,test
18,0.40005001430000003,18,test
19,0.5723500252,19,test
20,0.5940999985000001,20,test
21,0.5911499858,21,test
22,0.5887500048000001,22,test
23,0.5895500183,23,test
24,0.5900999904,24,test
