index,specificity_at_sensitivity,epoch,stage
0,0.6255999804,0,train
1,0.6872249842,1,train
2,0.7502874732,2,train
3,0.7645000219,3,train
4,0.8373625278,4,train
5,0.8703874946,5,train
6,0.9061499834000001,6,train
7,0.923137486,7,train
8,0.9372375011,8,train
9,0.9506250024,9,train
10,0.9591249824,10,train
11,0.9681875110000001,11,train
12,0.9738249779,12,train
13,0.9773749709,13,train
14,0.9813374877000001,14,train
15,0.9842000008,15,train
16,0.9861500263,16,train
17,0.9894499779,17,train
18,0.9907749891000001,18,train
19,0.9918000102000001,19,train
20,0.9938374758,20,train
21,0.9943624735000001,21,train
22,0.9946874976000001,22,train
23,0.995737493,23,train
24,0.9958375096000001,24,train
0,0.6068000197,0,val
1,0.6162499785000001,1,val
2,0.5804499984,2,val
3,0.6113499999,3,val
4,0.6104500294,4,val
5,0.6069499850000001,5,val
6,0.41010001300000004,6,val
7,0.6029999852,7,val
8,0.5893999934,8,val
9,0.5900999904,9,val
10,0.5946499705,10,val
11,0.5940499902,11,val
12,0.6006500125,12,val
13,0.5764499903,13,val
14,0.5803499818,14,val
15,0.5926499963,15,val
16,0.5945500135,16,val
17,0.4010500014,17,val
18,0.5978500247,18,val
19,0.5892500281,19,val
20,0.5916500092,20,val
21,0.5895500183,21,val
22,0.5864499807,22,val
23,0.5811499953,23,val
24,0.5811499953,24,val
