index,cost_metric,epoch,stage
0,-171.6158447266,0,train
1,-167.0352020264,1,train
2,-163.1943206787,2,train
3,-155.6797332764,3,train
4,-150.413269043,4,train
5,-144.398651123,5,train
6,-140.318572998,6,train
7,-136.3341674805,7,train
8,-136.3600311279,8,train
9,-137.1992950439,9,train
10,-138.0422973633,10,train
11,-136.3153381348,11,train
12,-136.8027496338,12,train
13,-136.0965881348,13,train
14,-135.7604675293,14,train
15,-138.0051269531,15,train
16,-137.4795227051,16,train
17,-134.0995178223,17,train
18,-143.5147094727,18,train
19,-139.6528167725,19,train
20,-131.1193389893,20,train
21,-133.1226501465,21,train
22,-139.2576446533,22,train
23,-138.2356414795,23,train
24,-136.0143585205,24,train
0,-165.172088623,0,val
1,-165.3757781982,1,val
2,-162.7309417725,2,val
3,-162.562713623,3,val
4,-164.6467285156,4,val
5,-164.3806152344,5,val
6,-163.7966003418,6,val
7,-167.4307861328,7,val
8,-168.4735870361,8,val
9,-163.7443084717,9,val
10,-167.7681884766,10,val
11,-168.3269195557,11,val
12,-25.6911239624,12,val
13,-517.3962402344,13,val
14,-167.3996734619,14,val
15,-165.5609283447,15,val
16,-163.9886169434,16,val
17,-168.1103973389,17,val
18,-165.4466400146,18,val
19,-164.9366455078,19,val
20,-167.3482818604,20,val
21,-168.2998352051,21,val
22,-168.8877258301,22,val
23,-165.1245880127,23,val
24,-164.5933837891,24,val
