index,precision,epoch,stage
0,0.516409874,0,train
1,0.5314104557,1,train
2,0.5407547951,2,train
3,0.5507443547,3,train
4,0.5588991046,4,train
5,0.5660521388,5,train
6,0.5725308657,6,train
7,0.5762099028000001,7,train
8,0.5771407485,8,train
9,0.5778537989,9,train
10,0.5795713663000001,10,train
11,0.5814161301,11,train
12,0.5818575621000001,12,train
13,0.5841200352,13,train
14,0.5866242051,14,train
15,0.5858336091,15,train
16,0.5856237411,16,train
17,0.5852960944,17,train
18,0.5845929980000001,18,train
19,0.5869420767,19,train
20,0.588973105,20,train
21,0.5872983932,21,train
22,0.5846514702,22,train
23,0.5876631141,23,train
24,0.5862283707,24,train
0,0.5156946182000001,0,val
1,0.5159340501,1,val
2,0.5252464414,2,val
3,0.5252838731,3,val
4,0.5216739178,4,val
5,0.5220999718,5,val
6,0.52275455,6,val
7,0.5112624168000001,7,val
8,0.5098646283,8,val
9,0.5229307413000001,9,val
10,0.5105839968,10,val
11,0.5094990730000001,11,val
12,0.5658828616,12,val
13,0.5096657872,13,val
14,0.5114079714,14,val
15,0.5190961957,15,val
16,0.5233145356,16,val
17,0.5106244683,17,val
18,0.518918395,18,val
19,0.5205438137,19,val
20,0.5123120546000001,20,val
21,0.5096057653,21,val
22,0.5083508492000001,22,val
23,0.5203621984,23,val
24,0.5216325521,24,val
