index,precision_at_recall,epoch,stage
0,0.5142740607,0,train
1,0.5258210897,1,train
2,0.5310216546000001,2,train
3,0.5424308181,3,train
4,0.5508486629,4,train
5,0.5574806929,5,train
6,0.5574712753000001,6,train
7,0.5575050712,7,train
8,0.568762958,8,train
9,0.5628973842,9,train
10,0.5656947494,10,train
11,0.5648180246,11,train
12,0.5652735829000001,12,train
13,0.5683788657000001,13,train
14,0.5621739626,14,train
15,0.5659115314000001,15,train
16,0.564786911,16,train
17,0.5706556439,17,train
18,0.5683956146,18,train
19,0.5712324977000001,19,train
20,0.5630589128,20,train
21,0.5604606271,21,train
22,0.5722221732,22,train
23,0.5658556819,23,train
24,0.5674511194,24,train
0,0.5277141333,0,val
1,0.527713716,1,val
2,0.5146407485,2,val
3,0.5266563296,3,val
4,0.5120882392,4,val
5,0.5090497732,5,val
6,0.5093071461,6,val
7,0.5090432167,7,val
8,0.5124567747000001,8,val
9,0.5102992058,9,val
10,0.5090389848,10,val
11,0.5084232092000001,11,val
12,0.5099637508,12,val
13,0.5234398246,13,val
14,0.5092169046,14,val
15,0.5098618269,15,val
16,0.5196152329,16,val
17,0.521601975,17,val
18,0.5066569448,18,val
19,0.5210096836,19,val
20,0.5085811019,20,val
21,0.5085723996,21,val
22,0.5088919997,22,val
23,0.510002017,23,val
24,0.5114844441,24,val
