index,sensitivity_at_specificity,epoch,stage
0,0.3891249895,0,train
1,0.46672499180000004,1,train
2,0.4198125005,2,train
3,0.3723750114,3,train
4,0.3722749949,4,train
5,0.4080249965,5,train
6,0.48376250270000004,6,train
7,0.4618999958,7,train
8,0.42507499460000003,8,train
9,0.4118500054,9,train
10,0.4302875102,10,train
11,0.356962502,11,train
12,0.35476249460000003,12,train
13,0.42500001190000003,13,train
14,0.48821249600000005,14,train
15,0.4765999913,15,train
16,0.4945375025,16,train
17,0.4105624855,17,train
18,0.4238624871,18,train
19,0.4717999995,19,train
20,0.4439625144,20,train
21,0.4350750148,21,train
22,0.3995000124,22,train
23,0.4570375085,23,train
24,0.4124374986,24,train
0,0.5263500214,0,val
1,0.5196999907000001,1,val
2,0.5219500065,2,val
3,0.1311500072,3,val
4,0.5220999718,4,val
5,0.5250499845000001,5,val
6,0.1269499958,6,val
7,0.5123500228,7,val
8,0.1253499985,8,val
9,0.127700001,9,val
10,0.1262000054,10,val
11,0.5098999739,11,val
12,0.12465000150000001,12,val
13,0.1286499947,13,val
14,0.5144500136,14,val
15,0.5182999969000001,15,val
16,0.5260000229,16,val
17,0.5115500093,17,val
18,0.1243000031,18,val
19,0.1262000054,19,val
20,0.5149000287000001,20,val
21,0.5100499988,21,val
22,0.5095999837,22,val
23,0.5207499862,23,val
24,0.1267500073,24,val
