index,specificity_at_sensitivity,epoch,stage
0,0.4151625037,0,train
1,0.3400250077,1,train
2,0.3821125031,2,train
3,0.39138749240000004,3,train
4,0.4418500066,4,train
5,0.4157874882,5,train
6,0.40549999480000004,6,train
7,0.45878750090000003,7,train
8,0.47346249220000003,8,train
9,0.4770624936,9,train
10,0.47522500160000003,10,train
11,0.4170249999,11,train
12,0.4797374904,12,train
13,0.4358499944,13,train
14,0.46453750130000004,14,train
15,0.42651250960000003,15,train
16,0.4262875021,16,train
17,0.4862374961,17,train
18,0.3540374935,18,train
19,0.47208750250000003,19,train
20,0.4651750028,20,train
21,0.48359999060000003,21,train
22,0.4517624974,22,train
23,0.4616500139,23,train
24,0.4482125044,24,train
0,0.5274999738,0,test
1,0.5280500054,1,test
2,0.5124499798000001,2,test
3,0.5211499929,3,test
4,0.1227499992,4,test
5,0.5235999823,5,test
6,0.512650013,6,test
7,0.5232999921,7,test
8,0.5224999785000001,8,test
9,0.5264000297,9,test
10,0.5122500062,10,test
11,0.5103499889,11,test
12,0.128549993,12,test
13,0.5239499807,13,test
14,0.5228000283,14,test
15,0.5214499831,15,test
16,0.5101000071,16,test
17,0.5118499994,17,test
18,0.5124999881,18,test
19,0.5133000016,19,test
20,0.5158500075,20,test
21,0.5150499940000001,21,test
22,0.5144000053000001,22,test
23,0.12729999420000002,23,test
24,0.5103499889,24,test
