index,cost_metric,epoch,stage
0,-85.0727920532,0,train
1,-76.9292755127,1,train
2,-74.5198059082,2,train
3,-72.947479248,3,train
4,-71.5835189819,4,train
5,-70.3879394531,5,train
6,-68.8666915894,6,train
7,-68.2136001587,7,train
8,-66.8437194824,8,train
9,-66.3536376953,9,train
10,-65.379776001,10,train
11,-64.1797714233,11,train
12,-63.366558075,12,train
13,-62.3710670471,13,train
14,-61.141746521,14,train
15,-59.9026489258,15,train
16,-59.4509353638,16,train
17,-58.6356506348,17,train
18,-57.1789321899,18,train
19,-56.6063156128,19,train
20,-55.2818412781,20,train
21,-54.1977462769,21,train
22,-53.5828781128,22,train
23,-52.4799194336,23,train
24,-51.8755378723,24,train
0,-74.3583526611,0,val
1,-72.7269668579,1,val
2,-72.210723877,2,val
3,-71.6108474731,3,val
4,-71.0448913574,4,val
5,-69.7555236816,5,val
6,-71.4758605957,6,val
7,-69.122505188,7,val
8,-68.4853668213,8,val
9,-68.6328582764,9,val
10,-70.4101257324,10,val
11,-68.1839981079,11,val
12,-67.7512893677,12,val
13,-69.0217971802,13,val
14,-67.8701019287,14,val
15,-68.3030471802,15,val
16,-72.7362594604,16,val
17,-68.7290420532,17,val
18,-69.1453933716,18,val
19,-71.7772750854,19,val
20,-68.128692627,20,val
21,-72.9375457764,21,val
22,-68.5896224976,22,val
23,-68.9411392212,23,val
24,-69.4605560303,24,val
