index,precision_at_recall,epoch,stage
0,0.7885819674000001,0,train
1,0.8281809688,1,train
2,0.838100791,2,train
3,0.8464469314,3,train
4,0.8520458341,4,train
5,0.8571398258,5,train
6,0.8641181588,6,train
7,0.8685167432,7,train
8,0.8732851148,8,train
9,0.8782819510000001,9,train
10,0.8838238716,10,train
11,0.8871201873000001,11,train
12,0.89165622,12,train
13,0.8943483829000001,13,train
14,0.8991256356,14,train
15,0.9017179012000001,15,train
16,0.9083322287000001,16,train
17,0.9111400843,17,train
18,0.9153321385000001,18,train
19,0.9179843068,19,train
20,0.9217419028,20,train
21,0.9268332124,21,train
22,0.9275933504,22,train
23,0.931979537,23,train
24,0.9363628030000001,24,train
0,0.8341017365000001,0,val
1,0.8404678702,1,val
2,0.8538200259000001,2,val
3,0.8472093344,3,val
4,0.8571063280000001,4,val
5,0.8473154306,5,val
6,0.8611564636,6,val
7,0.8493150473000001,7,val
8,0.8647174239000001,8,val
9,0.8676419854,9,val
10,0.8674157262000001,10,val
11,0.8693436980000001,11,val
12,0.8689971566,12,val
13,0.866912663,13,val
14,0.8682357073,14,val
15,0.8682150245,15,val
16,0.868637085,16,val
17,0.8669716716,17,val
18,0.8684027791000001,18,val
19,0.8658149838,19,val
20,0.8381773829,20,val
21,0.8656020761000001,21,val
22,0.8625245094,22,val
23,0.8602159619,23,val
24,0.8644067645,24,val
