index,sensitivity_at_specificity,epoch,stage
0,0.8668249846,0,train
1,0.8954499960000001,1,train
2,0.903837502,2,train
3,0.9092749953,3,train
4,0.9119625092,4,train
5,0.917612493,5,train
6,0.9225875139,6,train
7,0.9244874716,7,train
8,0.9269000292,8,train
9,0.9304500222000001,9,train
10,0.9331625104000001,10,train
11,0.9355750084000001,11,train
12,0.9387875199000001,12,train
13,0.9413250089,13,train
14,0.9431750178,14,train
15,0.9459124804000001,15,train
16,0.9481874704000001,16,train
17,0.9513000250000001,17,train
18,0.9527624846,18,train
19,0.9549875259,19,train
20,0.9585499763,20,train
21,0.9602000117,21,train
22,0.9614874721000001,22,train
23,0.9628499746,23,train
24,0.9652749896,24,train
0,0.9024000168,0,test
1,0.9100000262,1,test
2,0.9111999869,2,test
3,0.9153500199,3,test
4,0.9144499898,4,test
5,0.9154499769000001,5,test
6,0.9211500287000001,6,test
7,0.9219999909000001,7,test
8,0.9233000278,8,test
9,0.9218500257000001,9,test
10,0.9256500006,10,test
11,0.9241499901,11,test
12,0.9218000174000001,12,test
13,0.9113000035000001,13,test
14,0.9240999818000001,14,test
15,0.9219499826,15,test
16,0.9225500226000001,16,test
17,0.9254000187,17,test
18,0.9234499931000001,18,test
19,0.9242500067,19,test
20,0.9262499809,20,test
21,0.9233000278,21,test
22,0.9258999825,22,test
23,0.9175000191,23,test
24,0.9193999767000001,24,test
