index,specificity_at_sensitivity,epoch,stage
0,0.8653874993,0,train
1,0.8956500292,1,train
2,0.9026499987000001,2,train
3,0.9088125229,3,train
4,0.9120875001000001,4,train
5,0.9157999754,5,train
6,0.9210000038,6,train
7,0.9240750074,7,train
8,0.9272624850000001,8,train
9,0.9302874804000001,9,train
10,0.9337375164,10,train
11,0.9359124899000001,11,train
12,0.9384999871,12,train
13,0.9404125214,13,train
14,0.9436125159000001,14,train
15,0.9448624849,15,train
16,0.9494749904,16,train
17,0.9506250024,17,train
18,0.9534749985000001,18,train
19,0.9552624822,19,train
20,0.9570500255000001,20,train
21,0.9602749944000001,21,train
22,0.9607375264,22,train
23,0.9631124735000001,23,train
24,0.9656375051,24,train
0,0.8992499709,0,val
1,0.9038500190000001,1,val
2,0.9139000177000001,2,val
3,0.9092500210000001,3,val
4,0.9161999822,4,val
5,0.9089999795,5,val
6,0.9192000031,6,val
7,0.9108999968,7,val
8,0.9206500053000001,8,val
9,0.9235500097,9,val
10,0.9233000278,10,val
11,0.9243500233,11,val
12,0.924300015,12,val
13,0.922450006,13,val
14,0.9233000278,14,val
15,0.9233999848000001,15,val
16,0.9240000248,16,val
17,0.9229500294,17,val
18,0.9241999984,18,val
19,0.9217500091,19,val
20,0.9034000039000001,20,val
21,0.9221500158,21,val
22,0.9193500280000001,22,val
23,0.9184499979,23,val
24,0.9211999774,24,val
