index,auc,epoch,stage
0,0.7930752039000001,0,train
1,0.8392272592000001,1,train
2,0.8528282046000001,2,train
3,0.8610606194,3,train
4,0.8678081036,4,train
5,0.8731731772,5,train
6,0.8774431944000001,6,train
7,0.8818538189,7,train
8,0.8862543106,8,train
9,0.8893585801,9,train
10,0.8930763602,10,train
11,0.8959657550000001,11,train
12,0.9002078772000001,12,train
13,0.9034664631,13,train
14,0.9052857757,14,train
15,0.9087936878,15,train
16,0.9109409451,16,train
17,0.9137475491,17,train
18,0.9156602621000001,18,train
19,0.9184204340000001,19,train
20,0.9209350348,20,train
21,0.9236997366,21,train
22,0.9251223803,22,train
23,0.9273793101000001,23,train
24,0.9304948449,24,train
0,0.8346287608,0,test
1,0.8551796675000001,1,test
2,0.8581839204,2,test
3,0.8715849519000001,3,test
4,0.8751411438000001,4,test
5,0.8721579909,5,test
6,0.8809776306,6,test
7,0.8769523501,7,test
8,0.8859133124,8,test
9,0.8865168095,9,test
10,0.8884555697000001,10,test
11,0.8883400559,11,test
12,0.8893663287,12,test
13,0.8909058571,13,test
14,0.8915016651000001,14,test
15,0.8884122372000001,15,test
16,0.8879942894,16,test
17,0.8897950053,17,test
18,0.8880373836000001,18,test
19,0.8811003566000001,19,test
20,0.8928113580000001,20,test
21,0.8933454156,21,test
22,0.8922067285,22,test
23,0.8881859779,23,test
24,0.8783887029,24,test
