index,binary_accuracy,epoch,stage
0,0.7193750143000001,0,train
1,0.7614625096000001,1,train
2,0.7731999755000001,2,train
3,0.7797874808,3,train
4,0.7849000096000001,4,train
5,0.7898749709,5,train
6,0.7934874892,6,train
7,0.7991874814000001,7,train
8,0.8030999899,8,train
9,0.8061000109,9,train
10,0.8085125089,10,train
11,0.8130999804,11,train
12,0.8173999786,12,train
13,0.8180875182,13,train
14,0.8224750161000001,14,train
15,0.8250499964,15,train
16,0.829262495,16,train
17,0.8304874897000001,17,train
18,0.8334125280000001,18,train
19,0.8379625082000001,19,train
20,0.8384125233,20,train
21,0.841337502,21,train
22,0.8434374928,22,train
23,0.8463875055000001,23,train
24,0.8504250050000001,24,train
0,0.7562999725,0,val
1,0.7765499949,1,val
2,0.7835500240000001,2,val
3,0.7817500234,3,val
4,0.7894999981,4,val
5,0.7876999974000001,5,val
6,0.7932999730000001,6,val
7,0.7839999795,7,val
8,0.7919499874,8,val
9,0.7932999730000001,9,val
10,0.7979999781,10,val
11,0.7936499715,11,val
12,0.8066999912,12,val
13,0.8039500117,13,val
14,0.8070999980000001,14,val
15,0.8090000153,15,val
16,0.8064000010000001,16,val
17,0.7967000008,17,val
18,0.8081499934,18,val
19,0.7943500280000001,19,val
20,0.8091999888,20,val
21,0.8083000183,21,val
22,0.8101500273000001,22,val
23,0.8020499945,23,val
24,0.8064000010000001,24,val
