index,cost_metric,epoch,stage
0,-82.6713104248,0,train
1,-68.4773712158,1,train
2,-64.3382720947,2,train
3,-62.2485694885,3,train
4,-61.0093612671,4,train
5,-58.6511535645,5,train
6,-57.5425567627,6,train
7,-56.0714225769,7,train
8,-55.2630157471,8,train
9,-54.501953125,9,train
10,-53.0239105225,10,train
11,-52.4367446899,11,train
12,-50.7446060181,12,train
13,-50.2877731323,13,train
14,-49.3585510254,14,train
15,-48.4248580933,15,train
16,-47.8618965149,16,train
17,-46.294631958,17,train
18,-45.9023666382,18,train
19,-45.0838432312,19,train
20,-44.4217529297,20,train
21,-43.6406364441,21,train
22,-42.516456604,22,train
23,-41.8309249878,23,train
24,-40.7989845276,24,train
0,-70.0012512207,0,val
1,-66.9383392334,1,val
2,-62.7837486267,2,val
3,-60.202747345,3,val
4,-59.2239189148,4,val
5,-58.2493629456,5,val
6,-56.9727554321,6,val
7,-56.1139678955,7,val
8,-55.6521720886,8,val
9,-59.1680984497,9,val
10,-55.1493911743,10,val
11,-54.576423645,11,val
12,-55.3866882324,12,val
13,-54.7764053345,13,val
14,-59.1409454346,14,val
15,-54.6086959839,15,val
16,-53.605846405,16,val
17,-59.0000305176,17,val
18,-52.8492584229,18,val
19,-54.2466392517,19,val
20,-54.0730323792,20,val
21,-53.8661880493,21,val
22,-52.9362869263,22,val
23,-53.1670150757,23,val
24,-53.6942367554,24,val
