index,loss,epoch,stage
0,0.5553887486,0,train
1,0.4970290959,1,train
2,0.47590348120000003,2,train
3,0.4646350443,3,train
4,0.45602846150000004,4,train
5,0.4466361701,5,train
6,0.4384037256,6,train
7,0.4314709008,7,train
8,0.4232547283,8,train
9,0.41700130700000004,9,train
10,0.4121974707,10,train
11,0.4050691426,11,train
12,0.3994957805,12,train
13,0.3951671124,13,train
14,0.3878743947,14,train
15,0.3836321533,15,train
16,0.37731066350000003,16,train
17,0.3731211126,17,train
18,0.3670667112,18,train
19,0.36148861050000003,19,train
20,0.35756027700000004,20,train
21,0.35247680540000004,21,train
22,0.3474608362,22,train
23,0.3409215212,23,train
24,0.3358497024,24,train
0,0.5058274865,0,val
1,0.4716936946,1,val
2,0.4564784765,2,val
3,0.4548521042,3,val
4,0.4509176314,4,val
5,0.4516545832,5,val
6,0.44652327900000005,6,val
7,0.45239135620000004,7,val
8,0.44334483150000004,8,val
9,0.4371589422,9,val
10,0.4323264062,10,val
11,0.4378828704,11,val
12,0.4198956192,12,val
13,0.4254263043,13,val
14,0.4217417538,14,val
15,0.4173411131,15,val
16,0.41829061510000004,16,val
17,0.43528252840000003,17,val
18,0.4228859246,18,val
19,0.4496044517,19,val
20,0.421535641,20,val
21,0.4217635393,21,val
22,0.4267148376,22,val
23,0.4421481788,23,val
24,0.43070185180000004,24,val
