index,recall,epoch,stage
0,0.7204625010000001,0,train
1,0.7609000206000001,1,train
2,0.7735249996,2,train
3,0.7799500227,3,train
4,0.7839875221,4,train
5,0.7911750078,5,train
6,0.7947124839,6,train
7,0.7994375229,7,train
8,0.8021000028,8,train
9,0.8044999838,9,train
10,0.8093749881000001,10,train
11,0.8112000227,11,train
12,0.8166249990000001,12,train
13,0.8182250261,13,train
14,0.8211625218,14,train
15,0.8241999745,15,train
16,0.8261874914,16,train
17,0.8313000202,17,train
18,0.8325625062,18,train
19,0.8353875279,19,train
20,0.8375999928000001,20,train
21,0.8401374817,21,train
22,0.8439499736,22,train
23,0.8461999893000001,23,train
24,0.8497375250000001,24,train
0,0.7564499974000001,0,val
1,0.7657499909000001,1,val
2,0.7787500024,2,val
3,0.7869499922000001,3,val
4,0.7900999784,4,val
5,0.7925000191,5,val
6,0.7962499857,6,val
7,0.7997000217,7,val
8,0.8005499840000001,8,val
9,0.7888000011,9,val
10,0.8028500080000001,10,val
11,0.8040500283,11,val
12,0.8014000058,12,val
13,0.8033000231,13,val
14,0.7889000177000001,14,val
15,0.8039000034,15,val
16,0.8077499866000001,16,val
17,0.7893499732,17,val
18,0.8099499941,18,val
19,0.8054000139,19,val
20,0.8059999943,20,val
21,0.8069499731,21,val
22,0.8100000024,22,val
23,0.8091999888,23,val
24,0.8068500161000001,24,val
