index,sensitivity_at_specificity,epoch,stage
0,0.8776624799,0,train
1,0.9172875285000001,1,train
2,0.9300749898,2,train
3,0.9353874922000001,3,train
4,0.9425250292,4,train
5,0.9475374818000001,5,train
6,0.949000001,6,train
7,0.9523500204,7,train
8,0.955550015,8,train
9,0.9578499794,9,train
10,0.9593874812000001,10,train
11,0.9611124992000001,11,train
12,0.9646999836000001,12,train
13,0.9668375254,13,train
14,0.9685000181000001,14,train
15,0.9696249962000001,15,train
16,0.9724249840000001,16,train
17,0.9724875093,17,train
18,0.9737625122,18,train
19,0.9757750034,19,train
20,0.9771999717000001,20,train
21,0.9785125256,21,train
22,0.9790999889,22,train
23,0.9808375239,23,train
24,0.9817249775,24,train
0,0.9157500267,0,test
1,0.9330499768,1,test
2,0.9327499866000001,2,test
3,0.9453499913000001,3,test
4,0.9478999972000001,4,test
5,0.9473500252,5,test
6,0.953700006,6,test
7,0.9516000152,7,test
8,0.9566500187,8,test
9,0.9566500187,9,test
10,0.9567499757000001,10,test
11,0.9564499855,11,test
12,0.9577999711,12,test
13,0.9583500028,13,test
14,0.9595500231,14,test
15,0.9590499997,15,test
16,0.9559999704000001,16,test
17,0.9580000043,17,test
18,0.9560999870000001,18,test
19,0.9510999918,19,test
20,0.9583500028,20,test
21,0.9598500133000001,21,test
22,0.9602000117,22,test
23,0.9577999711,23,test
24,0.9495999813,24,test
