index,specificity_at_sensitivity,epoch,stage
0,0.8737375140000001,0,train
1,0.9177374840000001,1,train
2,0.9305999875000001,2,train
3,0.935199976,3,train
4,0.9395874739000001,4,train
5,0.9450874925,5,train
6,0.9495124817,6,train
7,0.9512249827,7,train
8,0.955524981,8,train
9,0.9590749741000001,9,train
10,0.9590499997,10,train
11,0.962774992,11,train
12,0.9646124840000001,12,train
13,0.9653249979,13,train
14,0.9678875208000001,14,train
15,0.9694749713,15,train
16,0.9722499847,16,train
17,0.9724624753000001,17,train
18,0.9740375280000001,18,train
19,0.9753375053000001,19,train
20,0.9765124917,20,train
21,0.9782124758,21,train
22,0.9798374772,22,train
23,0.9811999798000001,23,train
24,0.9819750190000001,24,train
0,0.9146500230000001,0,val
1,0.9326999784000001,1,val
2,0.9404000044,2,val
3,0.9431999922000001,3,val
4,0.9441000223,4,val
5,0.9437000155,5,val
6,0.9496499896,6,val
7,0.9451500177000001,7,val
8,0.9481999874,8,val
9,0.949450016,9,val
10,0.9531999826,10,val
11,0.9516500235,11,val
12,0.9577500224000001,12,val
13,0.9564999938000001,13,val
14,0.9583500028,14,val
15,0.9581999779,15,val
16,0.9603999853,16,val
17,0.9530000091,17,val
18,0.9594500065,18,val
19,0.9521499872,19,val
20,0.9599999785000001,20,val
21,0.9588500261,21,val
22,0.9606000185,22,val
23,0.9567999840000001,23,val
24,0.9577000141,24,val
