index,auc,epoch,stage
0,0.7549644113,0,train
1,0.7894046307,1,train
2,0.7985402346,2,train
3,0.805539906,3,train
4,0.8104820251,4,train
5,0.8151087761,5,train
6,0.8194657564000001,6,train
7,0.8240458965,7,train
8,0.8275033832,8,train
9,0.8317004442,9,train
10,0.8350896239000001,10,train
11,0.8382649422,11,train
12,0.8419205546,12,train
13,0.8443859220000001,13,train
14,0.8487962484,14,train
15,0.8525921106000001,15,train
16,0.8549694419,16,train
17,0.8579699397,17,train
18,0.8607949615,18,train
19,0.8646153212000001,19,train
20,0.8675226569000001,20,train
21,0.8705376983,21,train
22,0.8737130761,22,train
23,0.8770416379,23,train
24,0.8796711564,24,train
0,0.796023488,0,test
1,0.7857431173,1,test
2,0.8081303239000001,2,test
3,0.799711287,3,test
4,0.8088333011000001,4,test
5,0.8114798069,5,test
6,0.8149595857,6,test
7,0.8161647916,7,test
8,0.8083329201,8,test
9,0.8179147243,9,test
10,0.8205381036,10,test
11,0.8147313595,11,test
12,0.8218941092000001,12,test
13,0.8195137978,13,test
14,0.8212557435000001,14,test
15,0.8190816641,15,test
16,0.8214135170000001,16,test
17,0.8194302917,17,test
18,0.8200890422,18,test
19,0.8198444247000001,19,test
20,0.8080275059,20,test
21,0.8171387315,21,test
22,0.8102639318,22,test
23,0.8141191006,23,test
24,0.8151268959,24,test
