index,binary_accuracy,epoch,stage
0,0.6885374784,0,train
1,0.7141249776,1,train
2,0.7209749818000001,2,train
3,0.7256125212,3,train
4,0.7307749987000001,4,train
5,0.7340624928,5,train
6,0.7375000119,6,train
7,0.7411000133000001,7,train
8,0.7449499965,8,train
9,0.7478625178,9,train
10,0.750562489,10,train
11,0.7542250156,11,train
12,0.7567874789,12,train
13,0.7587375045,13,train
14,0.7629374862,14,train
15,0.7663499713,15,train
16,0.7685250044,16,train
17,0.7714874744,17,train
18,0.7746375203,18,train
19,0.7774124742,19,train
20,0.781812489,20,train
21,0.7845749855,21,train
22,0.7886124849,22,train
23,0.790887475,23,train
24,0.7925249934,24,train
0,0.7190999985000001,0,val
1,0.7224500179000001,1,val
2,0.7264000177000001,2,val
3,0.7279499769000001,3,val
4,0.7298499942000001,4,val
5,0.7340000272,5,val
6,0.7346000075,6,val
7,0.7318000197000001,7,val
8,0.7350500226000001,8,val
9,0.7410500050000001,9,val
10,0.7402999997,10,val
11,0.7382500172,11,val
12,0.7419999838,12,val
13,0.7414000034,13,val
14,0.7440500259,14,val
15,0.7184500098000001,15,val
16,0.7371500134000001,16,val
17,0.7416999936,17,val
18,0.7330999970000001,18,val
19,0.7407500148,19,val
20,0.7392500043,20,val
21,0.7345499992000001,21,val
22,0.7372499704000001,22,val
23,0.7389500141,23,val
24,0.7372499704000001,24,val
