index,cost_metric,epoch,stage
0,-94.4482574463,0,train
1,-84.5455169678,1,train
2,-82.3499450684,2,train
3,-79.965133667,3,train
4,-78.6677246094,4,train
5,-77.1057128906,5,train
6,-75.9497528076,6,train
7,-74.7105941772,7,train
8,-73.6829223633,8,train
9,-72.2435379028,9,train
10,-71.6859741211,10,train
11,-70.410949707,11,train
12,-69.4907684326,12,train
13,-69.0272827148,13,train
14,-67.4405212402,14,train
15,-66.2964477539,15,train
16,-65.99193573,16,train
17,-64.7324752808,17,train
18,-64.1785049438,18,train
19,-62.6370887756,19,train
20,-61.9109230042,20,train
21,-61.0371017456,21,train
22,-60.0485839844,22,train
23,-58.828918457,23,train
24,-57.9395217896,24,train
0,-83.1532974243,0,test
1,-86.3022003174,1,test
2,-80.384513855,2,test
3,-81.7221755981,3,test
4,-79.6150512695,4,test
5,-78.7763214111,5,test
6,-77.9700012207,6,test
7,-76.7252807617,7,test
8,-80.2272720337,8,test
9,-76.5038604736,9,test
10,-75.662940979,10,test
11,-77.6667785645,11,test
12,-74.9040222168,12,test
13,-75.0869750977,13,test
14,-74.9148330688,14,test
15,-75.9440765381,15,test
16,-75.5552215576,16,test
17,-75.6602859497,17,test
18,-76.1854476929,18,test
19,-75.0128173828,19,test
20,-79.8352127075,20,test
21,-76.1263504028,21,test
22,-78.6332855225,22,test
23,-77.4301300049,23,test
24,-77.4055633545,24,test
