index,precision_at_recall,epoch,stage
0,0.7495468855,0,train
1,0.7947769761,1,train
2,0.8079935908,2,train
3,0.8141980767,3,train
4,0.8242117763,4,train
5,0.8294005394,5,train
6,0.83499825,6,train
7,0.8415318727000001,7,train
8,0.8455309868,8,train
9,0.8512660265,9,train
10,0.8566352725,10,train
11,0.860609591,11,train
12,0.8660787344,12,train
13,0.8672700524,13,train
14,0.8757118583,14,train
15,0.8779296875,15,train
16,0.8833472729,16,train
17,0.8868514895,17,train
18,0.8892090321,18,train
19,0.8940315247,19,train
20,0.8979350924,20,train
21,0.9008412361,21,train
22,0.9051036239,22,train
23,0.9077243805,23,train
24,0.9142935276,24,train
0,0.8068000078,0,test
1,0.7873459458000001,1,test
2,0.8180058002,2,test
3,0.8112108707,3,test
4,0.8181008101,4,test
5,0.8231303692,5,test
6,0.8302619457,6,test
7,0.8311774731,7,test
8,0.8214607835000001,8,test
9,0.834426105,9,test
10,0.8349867463,10,test
11,0.8315503597,11,test
12,0.8387690187,12,test
13,0.8349345922,13,test
14,0.8386287689,14,test
15,0.8355596066000001,15,test
16,0.841053009,16,test
17,0.8359590173,17,test
18,0.8376639485,18,test
19,0.8361106515000001,19,test
20,0.8228346705,20,test
21,0.8350944519,21,test
22,0.8251586556,22,test
23,0.8309018612,23,test
24,0.8326696754,24,test
