index,sensitivity_at_specificity,epoch,stage
0,0.8307250142,0,train
1,0.8688625097,1,train
2,0.8805000186,2,train
3,0.8845124841,3,train
4,0.8931624889,4,train
5,0.8961625099,5,train
6,0.9006875157,6,train
7,0.9058125019000001,7,train
8,0.9079499841,8,train
9,0.9125499725,9,train
10,0.9162750244000001,10,train
11,0.9189375043,11,train
12,0.9225500226000001,12,train
13,0.9224625230000001,13,train
14,0.9287999868000001,14,train
15,0.9300125241,15,train
16,0.9337499738,16,train
17,0.9358249903,17,train
18,0.937512517,18,train
19,0.9402999878,19,train
20,0.9427250028,20,train
21,0.9445999861000001,21,train
22,0.9469375014,22,train
23,0.9485874772,23,train
24,0.953125,24,train
0,0.87924999,0,test
1,0.8645499945,1,test
2,0.8871999979,2,test
3,0.8833000064000001,3,test
4,0.8877500296,4,test
5,0.8917999864,5,test
6,0.8973000050000001,6,test
7,0.8981999755000001,7,test
8,0.8910999894,8,test
9,0.9002500176,9,test
10,0.9002000093,10,test
11,0.8976500034,11,test
12,0.9035999775,12,test
13,0.9003499746,13,test
14,0.9035000205,14,test
15,0.9009000063,15,test
16,0.9046000242000001,16,test
17,0.9016000032,17,test
18,0.9028499722000001,18,test
19,0.9016500115,19,test
20,0.8920000196000001,20,test
21,0.9009000063,21,test
22,0.8939499855,22,test
23,0.8980000019000001,23,test
24,0.8991500139,24,test
