index,specificity_at_sensitivity,epoch,stage
0,0.838362515,0,train
1,0.8683875203,1,train
2,0.8808000088,2,train
3,0.8888750076,3,train
4,0.8920999765000001,4,train
5,0.8963249922000001,5,train
6,0.9002375007000001,6,train
7,0.9036750197000001,7,train
8,0.9078000188,8,train
9,0.9107999802000001,9,train
10,0.9138500094,10,train
11,0.9173125029,11,train
12,0.9204624891000001,12,train
13,0.9255124927,13,train
14,0.9261624813,14,train
15,0.9299874902,15,train
16,0.9314749837,16,train
17,0.9334250093,17,train
18,0.9358375072,18,train
19,0.9383500218,19,train
20,0.9405624866000001,20,train
21,0.9454749823,21,train
22,0.9475499988,22,train
23,0.9506250024,23,train
24,0.9513249993,24,train
0,0.8757500052,0,val
1,0.8855500221,1,val
2,0.8787500262,2,val
3,0.8891999722,3,val
4,0.8959500194000001,4,val
5,0.8958500028,5,val
6,0.8982499838,6,val
7,0.8994500041,7,val
8,0.9039999843000001,8,val
9,0.9019500017000001,9,val
10,0.9014499784000001,10,val
11,0.9006000161000001,11,val
12,0.8990499973,12,val
13,0.8946499825,13,val
14,0.8974000216,14,val
15,0.9008499980000001,15,val
16,0.9006500244000001,16,val
17,0.8970999718,17,val
18,0.8988500237,18,val
19,0.8994500041,19,val
20,0.9024500251,20,val
21,0.8958500028,21,val
22,0.8973000050000001,22,val
23,0.8978999853,23,val
24,0.8938500285000001,24,val
